name	sentenceId	sentence	nextSentenceID	checkIfOption	option1	option2	option3	option1_sentenceID	option2_sentenceID	option3_sentenceID	checkIfEnd	checkIfAffection	"event (1 - AffectionEvent, 2 - ScavengerEvent, 3 - Sleep, 4 - ChangePhase, 5 - FilmingConvo)"	"expression (0 - Neutral, 1 - Happy, 2 - Angry, 3 - Sad, 4 - Shy)"
 	0	Everywhere you turn it is preached to you.	1	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	1
 	1	"It is a uniquely human experience,"	2	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	1
 	2	Or rather WAS a uniquely human experience.	3	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	1
 	3	"Ever since humanity took to the stars all the way back in the year 12100, they've discovered all sorts of sentient life across the Milky Way."	4	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	1
 	4	"And, with the human's assistance, those alien species swiftly ascended to the stars as well."	5	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	1
 	5	"And humans soon realised that what they thought made them special, is actually what makes all sentient life special."	6	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	1
 	6	Love.	7	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	1
 	7	"Love, it turns out, is a universal concept."	8	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	1
 	8	"Whatever is considered a sentient-species, is capable of Love."	9	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	1
 	9	And that is such a beautiful fact of the world.	10	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	1
 	10	But. . . 	11	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	1
 	11	"Despite your world being so full of Love and possibilities,"	12	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	1
 	12	You're not so fortunate are you?	13	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	1
 	13	Brain numbing work	14	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	1
 	14	Annoying Co-workers	15	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	1
 	15	Drab Offices	16	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	1
 	16	Not to mention that you've never had a relationship in your life.	17	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	1
 	17	You've lived your life just as others envisioned it and look at you now.	18	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	1
 	18	You live your life day by day	19	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	1
 	19	Never seeing a future where you're happy.	20	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	1
 	20	What a truly bad hand fate has dealt you.	21	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	1
 	21	Perhaps fate has turned her back on you. . . .	22	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	1
 	22	However.	23	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	1
 	23	"Maybe,"	24	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	1
 	24	Love has not?	25	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	1
 	25	"After all, it's as the saying goes."	26	FALSE	-	-	-	-	-	-	TRUE	FALSE	-	1
 	26	The sound of a dial tone can be heard	27	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	1
???	27	Hello? What is it?	28	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	1
