name	sentenceId	sentence	nextSentenceID	checkIfOption	option1	option2	option3	option1_sentenceID	option2_sentenceID	option3_sentenceID	checkIfEnd	checkIfAffection	"event (1 - AffectionEvent, 2 - ScavengerEvent, 3 - Sleep, 4 - ChangePhase, 5 - FilmingConvo)"	"expression (0 - Neutral, 1 - Happy, 2 - Angry, 3 - Sad, 4 - Shy)"
 	0	"You see Xina in the arcade zone,"	1	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	0
 	1	She hasn't noticed you yet but if you get any closer she probably will.	2	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	0
 	2	"Knowing Xina, once she's got you it's gonna be a longggg time before you can leave."	3	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	0
 	3	Approach Xina?	4	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	0
 	4	Approach Xina?	-	TRUE	Yes 	Maybe Another Time	-	387	4	- 	TRUE	FALSE	-	0
 	5	"Xina seems to be wearing a pair of virtual environment glasses,"	6	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	0
 	6	She's playing some kind of rhythm game and looks really good at it!	7	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	0
 	7	As you get closer you see her jump a little as if she was startled by something	8	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	0
 	8	"Xina takes off the VE glasses and turns around to face you, almost as if she knew you were there."	9	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	0
Xina	9	 PlayerName !	10	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	0
Xina	10	I knew I recognised your taste!	11	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	0
 	11	"Xina smiles radiantly at you, proud of her intuition"	12	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	0
 	12	She looks happy to see you	13	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	0
 	13	She looks happy to see you	-	TRUE	Is my taste that distinct?	I'm happy to see you too.	-	14	19	-	FALSE	FALSE	-	0
Xina	14	Yup!	15	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	0
 	15	Xina says it with a chirp in her voice.	16	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	0
Xina	16	I could probably make out your taste from a crowd.	17	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	0
Xina	17	I wonder why…	18	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	0
 	18	She seems to try to ponder on her own question for a brief moment before dropping it and moving onto something else.	23	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	0
 	19	Xina turns a bright pink in response to you reading her emotions	20	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	0
Xina	20	I'm like an open book to you huh?	21	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	0
Xina	21	"Wait, aren't I supposed to be the mind reader here???"	22	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	0
 	22	She giggles at her own joke	23	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	0
Xina	23	Anyways-	24	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	0
Xina	24	You wanna try playing this game?	25	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	0
Xina	25	"It's really fun, It's like an updated version of a game my dad had!”"	26	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	0
 	26	She looks at you with anticipation and eagerness	27	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	0
 	27	You can't bring yourself to say no to her.	28	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	0
Xina	28	The game is simple you just got to get as much points as possible 	29	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	0
Xina	29	To get points just press on the notes	30	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	0
Xina	30	Here we go~	31	FALSE	-	-	-	-	-	-	TRUE	FALSE	-	0
Xina	31	Oh wow!	32	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	0
Xina	32	You're surprisingly good!	33	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	0
 	33	Xina seems impressed with your skills.	39	FALSE	-	-	-	-	-	-	FALSE	TRUE	-	0
 	34	Xina giggles at your poor score	35	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	0
Xina	35	Hehehe-	36	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	0
 	36	She teases you for your lack of skill	37	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	0
Xina	37	"It's ok, the game's pretty tough for beginners"	38	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	0
 	38	You Noooobbbb.	39	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	0
 	39	Even though you just met her recently it feels as if Xina has been part of your life for a long time-	40	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	0
 	40	"The atmosphere between the two of you is comfortable,"	41	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	0
 	41	Xina grabs your hand and pulls you along	42	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	0
Xina	42	Let's move over to the couches!	43	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	0
 	43	"You and Xina move over to the lounge area of the entertainment room,"	44	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	0
 	44	The both of you sit down on the couches while still holding hands	45	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	0
 	45	"Her hand feels soft and a bit squishy, but warm."	46	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	0
Xina	46	"You know,"	47	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	0
Xina	47	I've explored the whole ship but I like this place the most!	48	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	0
Xina	48	There are so many arcade machines here!	49	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	0
Xina	49	The pool's my second favourite though!	50	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	0
Xina	50	The pool's my second favourite though!	-	TRUE	You were really good at that game!	How'd you get so good at that game?	-	51	51	-	FALSE	FALSE	-	0
Xina	51	Hehe-	52	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	0
 	52	"Xina's blushes a bit and puffs out her chest,"	53	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	0
 	53	"Her face looks a little smug and seems like it's saying 'Yes, Praise me more!'"	54	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	0
Xina	54	The version of that game is the ultra-definitive-game of the century version so it's got a lotta tough songs in it.	55	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	0
Xina	55	Luckily for me my skills from an older cabinet version carries over-	56	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	0
 	56	Xina looks at you with innocent eyes while explaining her history with the game	57	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	0
Xina	57	Oh!	58	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	0
 	58	"She very subtly squeezes your hand,"	59	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	0
Xina	59	"You see, my dad had an ancient arcade machine with the same older game on it-"	60	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	0
Xina	60	"He was such a nerd about it, he spent a lottt of money on it."	61	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	0
Xina	61	"He was such a nerd about it, he spent a lottt of money on it."	-	TRUE	Was?	How much did he spend on it?	-	62	68	-	FALSE	FALSE	-	0
 	62	Xina looks at you with sadness in her eyes. . .	63	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	0
 	63	Her grip on your hand loosens. . .	64	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	0
Xina	64	He's…	65	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	0
Xina	65	No longer with us.	66	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	0
Xina	66	"But I have a feeling you would get along with him,"	67	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	0
 	67	Xina's tone of voice cheers up a bit	72	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	0
Xina	68	A LOT.	69	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	0
Xina	69	Mom got reallyyyy mad him for that.	70	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	0
Xina	70	"He was fascinated with old tech from the humans,"	71	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	0
Xina	71	Probably because-	72	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	0
Xina	72	He was a human too!	73	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	0
 	73	Her grip on you tightens slightly once again.	74	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	0
 	74	Her grip on you tightens slightly once again.	-	TRUE	A human? Then how-	???	-	75	75	-	FALSE	FALSE	-	0
 	75	"Xina giggles at your confusion,"	76	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	0
Xina	76	"You see, Scyzoans often crossbreed with other sentient-species"	77	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	0
 	77	"Xina stares at your fingers and intertwines them with hers,"	78	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	0
Xina	78	"I think most of the new generation of Scyzoans are mixed actually,"	79	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	0
 	79	Xina stops staring off into space and focuses on you again	80	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	0
Xina	80	Even in my mother's generation-	81	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	0
 	81	Xina's expression freezes at the mention of her mother	82	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	0
 	82	She looks at you with an almost melancholic look on her face before continuing like nothing happened	83	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	0
Xina	83	Even in my mother's generation there were quite a few mixed species couples	84	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	0
 	84	"She moves closer to you on the couch while keeping her eyes locked to yours,"	85	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	0
Xina	85	"My dad fell in love with her at first sight, almost like a fairytale"	86	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	0
 	86	"Xina moves even closer, your hands tightly intertwine."	87	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	0
Xina	87	"He always told me stories about it, even though I was like 5-"	88	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	0
 	88	"She moves her face closer to yours, her grip becomes firmer"	89	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	0
Xina	89	He said that the person I would fall in love with would have a sparkle in their eyes when they looked at me.	90	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	0
 	90	Xina stops moving when her face is mere inches away from yours.	91	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	0
 	91	"The both of you lock eyes with each other for what feels like eons, all while your faces get closer and closer"	92	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	0
 	92	"Xina's eyes are like a clear & still body of water, the longer you stare into them the more captivated you are"	93	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	0
 	93	"Eventually Xina blinks and she pulls away from your face, her complexion slowly transitioning to pink"	94	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	0
 	94	She lets go of your hand as well	95	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	0
 	95	She lets go of your hand as well	-	TRUE	So close yet so far…	"So, did my eyes sparkle?"	-	96	99	-	FALSE	FALSE	-	0
Xina	96	Hehe-	97	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	0
Xina	97	Maybe- not yet…	98	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	0
 	98	Xina turns away from you to try and hide her rapidly deepening blush	102	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	0
Xina	99	. . . 	100	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	0
 	100	"Xina closes her eyes and places her hands over her face,"	101	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	0
 	101	She also turns away from you in embarrassment.	102	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	0
 	102	Although you can't see Xina's face you can still see her complexion getting pinker and pinker	103	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	0
 	103	"As if out of embarrassment, she jumps up from the couch before turning around to talk to you in a rushed manner,"	104	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	0
Xina	104	I've uh- gotta go because of reasons-	105	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	0
Xina	105	I'll see you around!	106	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	0
 	106	"Xina dashes away, leaving you on the couch alone."	107	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	0
 	107	You feel like you've gotten closer with her-	108	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	0
 	108	"Having nothing else to do and drained from your time with Xina, you return to your room."	381	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	0
