name	sentenceId	sentence	nextSentenceID	checkIfOption	option1	option2	option3	option1_sentenceID	option2_sentenceID	option3_sentenceID	checkIfEnd	checkIfAffection	"event (1 - AffectionEvent, 2 - ScavengerEvent, 3 - Sleep, 4 - ChangePhase, 5 - FilmingConvo)"	"expression (0 - Neutral, 1 - Happy, 2 - Angry, 3 - Sad, 4 - Shy)"
 	0	A loud notification from your phone drags you out of bed	1	FALSE	-	-	-	-	-	-	TRUE	FALSE	-	0
Game Host Joe	1	"Goooooodddd Morning Human Contestant! Kick back & relax for today, filming of episode 2 will only take place tomorrow so take time today to rest & get to know your fellow contestants better!"	2	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	0
Player	2	"Oh, today is Free Time huh?"	-	FALSE	-	-	-	-	-	-	TRUE	FALSE	-	0
 	3	"You see Xina in the arcade zone,"	4	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	0
 	4	She hasn't noticed you yet but if you get any closer she probably will.	5	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	0
 	5	"Knowing Xina, once she's got you it's gonna be a longggg time before you can leave."	6	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	0
 	6	Approach Xina?	7	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	0
 	7	Approach Xina?	-	TRUE	Yes 	Maybe Another Time	-	592	7	-	TRUE	FALSE	-	0
 	8	"Xina seems to be wearing a pair of virtual environment glasses,"	9	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	0
 	9	She's playing some kind of rhythm game and looks really good at it!	10	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	0
 	10	As you get closer you see her jump a little as if she was startled by something	11	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	0
 	11	"Xina takes off the VE glasses and turns around to face you, almost as if she knew you were there."	12	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	0
Xina	12	 PlayerName !	13	FALSE	-	-	-	-	-	-	FALSE	FALSE	-	0
