name	sentenceId	sentence	nextSentenceID	checkIfOption	option1	option2	option3	option1_sentenceID	option2_sentenceID	option3_sentenceID	checkIfEnd	checkIfAffection
 	0	Everywhere you turn it is preached to you.	1	FALSE	-	-	-	-	-	-	FALSE	FALSE
 	1	"It  is a uniquely human experience,"	2	FALSE	-	-	-	-	-	-	FALSE	FALSE
 	2	Or rather WAS a uniquely human experience.	3	FALSE	-	-	-	-	-	-	FALSE	FALSE
 	3	"Ever since humanity took to the stars all the way back in the year 12100, they've discovered all sorts of sentient life across the Milky Way."	4	FALSE	-	-	-	-	-	-	FALSE	FALSE
 	4	"And, with the human's assistance, those alien species swiftly ascended to the stars as well."	5	FALSE	-	-	-	-	-	-	FALSE	FALSE
 	5	"And humans soon realised that what they thought made them special, is actually what makes all sentient life special."	6	FALSE	-	-	-	-	-	-	FALSE	FALSE
 	6	Love.	7	FALSE	-	-	-	-	-	-	FALSE	FALSE
 	7	"Love, it turns out, is a universal concept."	8	FALSE	-	-	-	-	-	-	FALSE	FALSE
 	8	"Whatever is considered a sentient-species, is capable of Love."	9	FALSE	-	-	-	-	-	-	FALSE	FALSE
 	9	And that is such a beautiful fact of the world.	10	FALSE	-	-	-	-	-	-	FALSE	FALSE
 	10	But. . .	11	FALSE	-	-	-	-	-	-	FALSE	FALSE
 	11	"Despite your world being so full of Love and possibilities,"	12	FALSE	-	-	-	-	-	-	FALSE	FALSE
 	12	You're not so fortunate are you?	13	FALSE	-	-	-	-	-	-	FALSE	FALSE
 	13	Brain numbing work	14	FALSE	-	-	-	-	-	-	FALSE	FALSE
 	14	Annoying Co-workers	15	FALSE	-	-	-	-	-	-	FALSE	FALSE
 	15	Drab Offices	16	FALSE	-	-	-	-	-	-	FALSE	FALSE
 	16	Not to mention that you've never had a relationship in your life.	17	FALSE	-	-	-	-	-	-	FALSE	FALSE
 	17	You've lived your life just as others envisioned it and look at you now.	18	FALSE	-	-	-	-	-	-	FALSE	FALSE
 	18	You live your life day by day	19	FALSE	-	-	-	-	-	-	FALSE	FALSE
 	19	Never seeing a future where you're happy.	20	FALSE	-	-	-	-	-	-	FALSE	FALSE
 	20	What a truly bad hand fate has dealt you.	21	FALSE	-	-	-	-	-	-	FALSE	FALSE
 	21	Perhaps fate has turned her back on you. . . .	22	FALSE	-	-	-	-	-	-	FALSE	FALSE
 	22	However.	23	FALSE	-	-	-	-	-	-	FALSE	FALSE
 	23	"Maybe,"	24	FALSE	-	-	-	-	-	-	FALSE	FALSE
 	24	Love has not?	25	FALSE	-	-	-	-	-	-	FALSE	FALSE
 	25	"After all, it's as the saying goes."	26	FALSE	-	-	-	-	-	-	FALSE	FALSE
 	26	 	-	FALSE	-	-	-	-	-	-	TRUE	FALSE
???	27	Hello? What is it?	28	FALSE	-	-	-	-	-	-	FALSE	FALSE
Player	28	"You won't believe it, remember when you told me to apply to the LAK show since they're accepting humans this season?"	29	FALSE	-	-	-	-	-	-	FALSE	FALSE
???	29	NO WAY.	30	FALSE	-	-	-	-	-	-	FALSE	FALSE
Player	30	YES WAY.	31	FALSE	-	-	-	-	-	-	FALSE	FALSE
??? 	31	Holy crap.	32	FALSE	-	-	-	-	-	-	FALSE	FALSE
Sister	32	My brother.	33	FALSE	-	-	-	-	-	-	FALSE	FALSE
Sister	33	On my favourite Intergalactic Dating show in this part of the Milky Way?	34	FALSE	-	-	-	-	-	-	FALSE	FALSE
Sister	34	Unbelievable.	35	FALSE	-	-	-	-	-	-	FALSE	FALSE
Sister	35	"I just hope you know, I'll be making fun of you when you're on holo."	36	FALSE	-	-	-	-	-	-	FALSE	FALSE
Player	36	I'm still in shock that out of the nearly 1 billion humans in this quadrant I was chosen.	37	FALSE	-	-	-	-	-	-	FALSE	FALSE
Sister	37	"Look, that doesn't matter anymore, just go and get packing already."	38	FALSE	-	-	-	-	-	-	FALSE	FALSE
Sister	38	Love Across Kinds is very finicky with its contestants.	39	FALSE	-	-	-	-	-	-	FALSE	FALSE
Sister	39	"If you're not ready to leave the second they step off the teleporter, they'll just choose someone else."	40	FALSE	-	-	-	-	-	-	FALSE	FALSE
Sister	40	"If you're not ready to leave the second they step off the teleporter, they'll just choose someone else."	-	TRUE	I'll head back and start packing immediately.	What about my job?	Eh maybe I'll pack last minute then.	41	42	43	FALSE	FALSE
Sister	41	"Good, be sure to bring me back a souvenir."	45	FALSE	-	-	-	-	-	-	FALSE	FALSE
Sister	42	Are you kidding me?	43	FALSE	-	-	-	-	-	-	FALSE	FALSE
