name,sentenceId,sentence,nextSentenceID,checkIfOption,option1,option2,option3,option1_sentenceID,option2_sentenceID,option3_sentenceID,checkIfEnd,checkIfAffection
???,0,Hello? What is it?,1,FALSE,-,-,-,-,-,-,FALSE,FALSE
Player,1,"You won’t believe it, remember when you told me to apply to the LAK show since they’re accepting humans this season?",2,FALSE,-,-,-,-,-,-,FALSE,FALSE
???,2,NO WAY.,3,FALSE,-,-,-,-,-,-,FALSE,FALSE
Player,3,YES WAY.,4,FALSE,-,-,-,-,-,-,FALSE,FALSE
??? ,4,Holy crap.,5,FALSE,-,-,-,-,-,-,FALSE,FALSE
Sister,5,My brother.,6,FALSE,-,-,-,-,-,-,FALSE,FALSE
Sister,6,On my favourite Intergalactic Dating show in this part of the Milky Way?,7,FALSE,-,-,-,-,-,-,FALSE,FALSE
Sister,7,Unbelievable.,8,FALSE,-,-,-,-,-,-,FALSE,FALSE
Sister,8,"I just hope you know, I’ll be making fun of you when you’re on holo.",9,FALSE,-,-,-,-,-,-,FALSE,FALSE
Player,9,I’m still in shock that out of the nearly 1 billion humans in this quadrant I was chosen.,10,FALSE,-,-,-,-,-,-,FALSE,FALSE
Sister,10,"Look, that doesn’t matter anymore, just go and get packing already.",11,FALSE,-,-,-,-,-,-,FALSE,FALSE
Sister,11,Love Across Kinds is very finicky with its contestants.,12,FALSE,-,-,-,-,-,-,FALSE,FALSE
Sister,12,"If you’re not ready to leave the second they step off the teleporter, they’ll just choose someone else.",13,FALSE,-,-,-,-,-,-,FALSE,FALSE
Player,13,-,-,TRUE,I’ll head back and start packing immediately.,What about my job?,Eh maybe I’ll pack last minute then.,14,14,14,FALSE,FALSE
Sister,14,-,15,TRUE,"Good, be sure to bring me back a souvenir.",Are you kidding me?,I’m gonna whoop your ass next time you visit.,16,15,16,FALSE,FALSE
Sister,15,I thought I told you to quit that soul sucking job ages ago.,16,FALSE,-,-,-,-,-,-,FALSE,FALSE
Sister,16,Look.,17,FALSE,-,-,-,-,-,-,FALSE,FALSE
Sister,17,Listen to me.,18,FALSE,-,-,-,-,-,-,FALSE,FALSE
Sister,18,"This is a once in a lifetime opportunity, try to relax and most importantly",19,FALSE,-,-,-,-,-,-,FALSE,FALSE
Sister,19,BE YOURSELF.,20,FALSE,-,-,-,-,-,-,FALSE,FALSE
Sister,20,"You’re a good person, I’m sure there’ll be someone on there who sees that.",21,FALSE,-,-,-,-,-,-,FALSE,FALSE
Player,21,…,22,FALSE,-,-,-,-,-,-,FALSE,FALSE
Player,22,Thank you?,23,FALSE,-,-,-,-,-,-,FALSE,FALSE
Player,23,I’ll update you if I can on the starcruiser.,24,FALSE,-,-,-,-,-,-,FALSE,FALSE
Sister,24,You better.,25,FALSE,-,-,-,-,-,-,FALSE,FALSE
Sister,25,"Also one last word of advice,",26,FALSE,-,-,-,-,-,-,FALSE,FALSE
Sister,26,I don’t know what sentient-species are going to be on The Matchmaker this season,27,FALSE,-,-,-,-,-,-,FALSE,FALSE
Sister,27,"But it can’t be as bad as what happened on The Pleasure Cruiser, 5 seasons ago.",28,FALSE,-,-,-,-,-,-,FALSE,FALSE
Player,28,I don’t even want to know what happened.,29,FALSE,-,-,-,-,-,-,FALSE,FALSE
Player,29,"I’ve gotta go now, bye.",30,FALSE,-,-,-,-,-,-,FALSE,FALSE
Sister,30,"Yeah, get lost, get going, GOOO.",31,FALSE,-,-,-,-,-,-,TRUE,FALSE
,31,,32,,,,,,,,,
,32,,33,,,,,,,,,
,33,,34,,,,,,,,,
,34,,35,,,,,,,,,
,35,,36,,,,,,,,,
,36,,,,,,,,,,,
,37,,,,,,,,,,,
,38,,,,,,,,,,,
,39,,,,,,,,,,,
